,Player,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Starter,game_id,TEAM
17,School Totals,200,34,61,.557,27,47,.574,7,14,.500,8,13,.615,9,25,34,20,7,6,16,22,83,False,0,Indiana
14,School Totals,200,24,54,.444,19,43,.442,5,11,.455,16,30,.533,14,24,38,11,11,1,17,19,69,False,1,Indiana
12,School Totals,200,28,69,.406,25,54,.463,3,15,.200,12,27,.444,18,19,37,13,10,2,20,20,71,False,2,Indiana
11,School Totals,200,24,57,.421,19,44,.432,5,13,.385,14,22,.636,5,26,31,14,8,6,12,27,67,False,3,Indiana
13,School Totals,200,20,57,.351,15,49,.306,5,8,.625,21,28,.750,15,25,40,11,9,1,15,23,66,False,4,Indiana
16,School Totals,200,25,52,.481,19,36,.528,6,16,.375,34,44,.773,7,26,33,19,13,5,18,23,90,False,5,Indiana
12,School Totals,200,23,70,.329,16,44,.364,7,26,.269,15,22,.682,19,20,39,13,5,3,16,22,68,False,6,Indiana
11,School Totals,200,24,54,.444,23,47,.489,1,7,.143,25,34,.735,7,27,34,14,7,10,12,19,74,False,7,Indiana
16,School Totals,200,28,60,.467,19,41,.463,9,19,.474,8,14,.571,7,15,22,17,6,3,9,16,73,False,8,Indiana
16,School Totals,200,30,59,.508,23,36,.639,7,23,.304,14,21,.667,15,29,44,22,4,6,16,16,81,False,9,Indiana
12,School Totals,200,20,48,.417,15,37,.405,5,11,.455,22,32,.688,11,18,29,9,10,5,23,20,67,False,10,Indiana
16,School Totals,200,32,58,.552,23,36,.639,9,22,.409,17,26,.654,15,33,48,20,11,7,18,17,90,False,11,Indiana
10,School Totals,200,23,49,.469,18,36,.500,5,13,.385,20,29,.690,6,25,31,13,10,2,9,17,71,False,12,Indiana
15,School Totals,200,18,53,.340,14,35,.400,4,18,.222,14,17,.824,10,22,32,9,4,1,23,22,54,False,13,Indiana
10,School Totals,200,22,53,.415,16,36,.444,6,17,.353,10,18,.556,8,21,29,10,8,3,15,28,60,False,14,Indiana
11,School Totals,200,19,52,.365,18,37,.486,1,15,.067,6,12,.500,11,17,28,9,5,2,18,22,45,False,15,Indiana
10,School Totals,225,24,57,.421,16,40,.400,8,17,.471,25,40,.625,17,23,40,16,6,3,13,22,81,False,16,Indiana
11,School Totals,200,24,54,.444,15,34,.441,9,20,.450,10,14,.714,9,22,31,15,9,8,12,21,67,False,17,Indiana
12,School Totals,200,16,45,.356,16,36,.444,0,9,.000,11,15,.733,9,12,21,3,9,5,16,17,43,False,18,Indiana
11,School Totals,200,21,60,.350,12,37,.324,9,23,.391,19,23,.826,12,17,29,11,5,1,13,21,70,False,19,Indiana
11,School Totals,200,27,60,.450,19,44,.432,8,16,.500,13,18,.722,10,20,30,15,7,3,10,20,75,False,20,Indiana
14,School Totals,200,18,51,.353,16,34,.471,2,17,.118,23,27,.852,7,21,28,10,7,2,6,23,61,False,21,Indiana
14,School Totals,200,20,54,.370,15,43,.349,5,11,.455,7,14,.500,9,25,34,11,2,4,13,18,52,False,22,Indiana
13,School Totals,200,20,43,.465,16,36,.444,4,7,.571,11,16,.688,6,17,23,10,4,0,21,18,55,False,23,Indiana
11,School Totals,200,15,43,.349,12,30,.400,3,13,.231,25,28,.893,12,12,24,5,2,2,15,17,58,False,24,Indiana
14,School Totals,200,19,59,.322,13,38,.342,6,21,.286,14,22,.636,13,15,28,11,5,1,9,17,58,False,25,Indiana
10,School Totals,200,18,51,.353,18,46,.391,0,5,.000,10,20,.500,12,17,29,8,7,5,18,17,46,False,26,Indiana
10,School Totals,200,18,40,.450,17,32,.531,1,8,.125,20,25,.800,5,18,23,4,4,2,20,31,57,False,27,Indiana
14,School Totals,200,23,59,.390,18,43,.419,5,16,.313,4,5,.800,10,23,33,7,3,1,17,25,55,False,28,Indiana
13,School Totals,225,26,60,.433,16,37,.432,10,23,.435,26,32,.813,17,24,41,15,11,6,15,15,88,False,29,Indiana
14,School Totals,200,20,46,.435,15,31,.484,5,15,.333,13,17,.765,10,16,26,10,2,2,18,21,58,False,30,Indiana
15,School Totals,200,30,57,.526,16,29,.552,14,28,.500,14,20,.700,15,21,36,22,9,5,23,27,88,False,31,Indiana
13,School Totals,200,24,40,.600,20,31,.645,4,9,.444,15,21,.714,4,34,38,14,6,5,20,24,67,False,32,Indiana
15,School Totals,200,23,60,.383,18,43,.419,5,17,.294,20,29,.690,15,24,39,16,10,1,15,19,71,False,33,Indiana
13,School Totals,200,24,45,.533,20,35,.571,4,10,.400,15,28,.536,9,19,28,10,10,7,15,20,67,False,34,Indiana
16,School Totals,200,24,58,.414,19,40,.475,5,18,.278,19,25,.760,12,21,33,13,8,6,13,14,72,False,35,Indiana
16,School Totals,200,36,64,.563,28,45,.622,8,19,.421,20,28,.714,14,30,44,23,11,4,15,25,100,False,36,Indiana
12,School Totals,200,28,55,.509,21,33,.636,7,22,.318,13,20,.650,11,13,24,15,4,2,10,20,76,False,37,Indiana
15,School Totals,200,26,47,.553,20,33,.606,6,14,.429,21,30,.700,8,27,35,13,7,5,19,16,79,False,38,Indiana
12,School Totals,200,23,54,.426,19,38,.500,4,16,.250,12,16,.750,5,27,32,12,3,5,14,31,62,False,39,Indiana
14,School Totals,200,32,52,.615,23,36,.639,9,16,.563,15,20,.750,4,30,34,18,10,2,17,18,88,False,40,Indiana
15,School Totals,200,35,63,.556,25,41,.610,10,22,.455,22,30,.733,12,23,35,24,10,2,8,13,102,False,41,Indiana
13,School Totals,200,20,47,.426,18,34,.529,2,13,.154,19,29,.655,7,21,28,9,7,2,14,20,61,False,42,Indiana
13,School Totals,200,24,59,.407,19,45,.422,5,14,.357,16,25,.640,16,14,30,9,8,2,12,22,69,False,43,Indiana
13,School Totals,200,23,54,.426,14,34,.412,9,20,.450,5,8,.625,9,16,25,13,5,1,9,21,60,False,44,Indiana
12,School Totals,200,25,50,.500,16,26,.615,9,24,.375,8,14,.571,4,16,20,13,4,1,14,30,67,False,45,Indiana
12,School Totals,200,23,61,.377,16,41,.390,7,20,.350,10,12,.833,10,16,26,12,9,5,6,20,63,False,46,Indiana
13,School Totals,200,27,58,.466,21,44,.477,6,14,.429,21,25,.840,11,19,30,18,2,7,13,29,81,False,47,Indiana
11,School Totals,200,29,43,.674,23,29,.793,6,14,.429,16,20,.800,5,28,33,11,2,2,16,21,80,False,48,Indiana
11,School Totals,200,25,49,.510,23,42,.548,2,7,.286,8,11,.727,5,19,24,4,2,1,7,17,60,False,49,Indiana
11,School Totals,200,26,70,.371,18,43,.419,8,27,.296,17,20,.850,15,19,34,16,9,1,14,29,77,False,50,Indiana
11,School Totals,200,18,48,.375,13,33,.394,5,15,.333,11,11,1.000,8,20,28,6,5,4,13,13,52,False,51,Indiana
11,School Totals,225,29,59,.492,18,38,.474,11,21,.524,14,22,.636,7,23,30,14,4,2,13,22,83,False,52,Indiana
11,School Totals,200,21,53,.396,16,29,.552,5,24,.208,13,15,.867,11,22,33,9,7,0,9,20,60,False,53,Indiana
12,School Totals,200,22,53,.415,17,39,.436,5,14,.357,14,17,.824,6,16,22,6,7,0,11,21,63,False,54,Indiana
11,School Totals,200,22,62,.355,20,49,.408,2,13,.154,7,7,1.000,8,20,28,9,9,2,13,22,53,False,55,Indiana
14,School Totals,200,26,55,.473,22,39,.564,4,16,.250,13,22,.591,8,24,32,12,5,3,13,30,69,False,56,Indiana
12,School Totals,200,23,46,.500,19,33,.576,4,13,.308,14,19,.737,8,17,25,10,6,1,12,22,64,False,57,Indiana
12,School Totals,200,19,50,.380,11,31,.355,8,19,.421,15,20,.750,11,20,31,7,7,0,11,22,61,False,58,Indiana
15,School Totals,200,20,52,.385,14,31,.452,6,21,.286,15,20,.750,7,21,28,11,2,0,13,25,61,False,59,Indiana
12,School Totals,200,22,47,.468,20,36,.556,2,11,.182,21,26,.808,7,16,23,5,0,0,5,19,67,False,60,Indiana
15,School Totals,200,18,57,.316,15,40,.375,3,17,.176,9,11,.818,7,18,25,6,3,2,10,13,48,False,61,Indiana
11,School Totals,200,22,45,.489,18,27,.667,4,18,.222,7,11,.636,4,15,19,13,10,4,9,19,55,False,62,Indiana
17,School Totals,200,34,52,.654,27,38,.711,7,14,.500,21,24,.875,8,23,31,21,9,2,14,14,96,False,63,Indiana
17,School Totals,200,25,50,.500,18,32,.563,7,18,.389,21,31,.677,6,28,34,12,15,7,18,19,78,False,64,Indiana
16,School Totals,200,33,59,.559,22,38,.579,11,21,.524,17,25,.680,7,28,35,24,7,5,12,22,94,False,65,Indiana
14,School Totals,200,28,49,.571,25,43,.581,3,6,.500,35,47,.745,9,18,27,16,8,1,9,25,94,False,66,Indiana
17,School Totals,200,29,59,.492,26,41,.634,3,18,.167,12,23,.522,14,27,41,19,5,1,13,19,73,False,67,Indiana
12,School Totals,200,19,47,.404,11,34,.324,8,13,.615,29,36,.806,11,18,29,9,14,6,16,18,75,False,68,Indiana
11,School Totals,200,30,62,.484,23,49,.469,7,13,.538,19,23,.826,12,22,34,8,10,4,13,20,86,False,69,Indiana
17,School Totals,200,34,66,.515,29,53,.547,5,13,.385,11,14,.786,8,25,33,20,13,7,9,10,84,False,70,Indiana
9,School Totals,200,25,58,.431,16,43,.372,9,15,.600,14,17,.824,12,16,28,12,7,2,18,16,73,False,71,Indiana
11,School Totals,200,24,57,.421,21,50,.420,3,7,.429,18,22,.818,12,21,33,9,4,2,11,25,69,False,72,Indiana
