game_id,Team,Date,SeasonEnd,Type,Place,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,TF,PTS,OppPTS,has_lines,favorite,ML,Spread,Total
1,Indiana,2009-11-16,2010,REG,H,24,54,0.444,19,43,0.442,5,11,0.455,16,30,0.533,14,24,38,11,11,1,17,19,69,61,True,1.0,,-17.0,
2,Indiana,2009-11-19,2010,REG,N,28,69,0.406,25,54,0.463,3,15,0.2,12,27,0.444,18,19,37,13,10,2,20,20,71,89,True,0.0,500.0,11.0,148.0
3,Indiana,2009-11-20,2010,REG,N,24,57,0.421,19,44,0.432,5,13,0.385,14,22,0.636,5,26,31,14,8,6,12,27,67,71,True,1.0,-150.0,-3.0,
4,Indiana,2009-11-22,2010,REG,N,20,57,0.351,15,49,0.306,5,8,0.625,21,28,0.75,15,25,40,11,9,1,15,23,66,69,True,0.0,135.0,3.0,134.0
5,Indiana,2009-11-28,2010,REG,H,25,52,0.481,19,36,0.528,6,16,0.375,34,44,0.773,7,26,33,19,13,5,18,23,90,72,True,1.0,-1100.0,-13.0,
6,Indiana,2009-12-01,2010,REG,H,23,70,0.329,16,44,0.364,7,26,0.269,15,22,0.682,19,20,39,13,5,3,16,22,68,80,True,0.0,195.0,6.0,139.0
7,Indiana,2009-12-08,2010,REG,N,24,54,0.444,23,47,0.489,1,7,0.143,25,34,0.735,7,27,34,14,7,10,12,19,74,64,True,0.0,400.0,10.0,129.0
8,Indiana,2009-12-12,2010,REG,H,28,60,0.467,19,41,0.463,9,19,0.474,8,14,0.571,7,15,22,17,6,3,9,16,73,90,True,0.0,375.0,9.0,143.0
9,Indiana,2009-12-19,2010,REG,H,30,59,0.508,23,36,0.639,7,23,0.304,14,21,0.667,15,29,44,22,4,6,16,16,81,58,True,1.0,-7000.0,-25.0,151.0
10,Indiana,2009-12-22,2010,REG,H,20,48,0.417,15,37,0.405,5,11,0.455,22,32,0.688,11,18,29,9,10,5,23,20,67,72,True,1.0,-360.0,-8.0,140.0
11,Indiana,2009-12-28,2010,REG,H,32,58,0.552,23,36,0.639,9,22,0.409,17,26,0.654,15,33,48,20,11,7,18,17,90,42,True,1.0,-5000.0,-22.0,135.0
12,Indiana,2009-12-31,2010,REG,H,23,49,0.469,18,36,0.5,5,13,0.385,20,29,0.69,6,25,31,13,10,2,9,17,71,65,True,0.0,175.0,5.0,134.0
